id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria
500001,Kevin Hernandez,F,2026-01-09,19.47,Chimaltenango,Education
500002,Gustavo Aguilar,F,2026-01-08,250.28,Quetzaltenango,Retail
500003,Hector Ramirez,F,2026-02-17,435.67,Antigua,Food
500004,Laura Diaz,M,2026-01-30,253.74,Amatitlan,Services
500005,Luis Ruiz,M,2026-02-05,430.98,Villa Nueva,Education
500006,Luis Molina,M,2026-02-06,255.71,Mixco,Services
500007,Rene Ortega,M,2026-02-12,34.58,Chimaltenango,Education
500008,Daniel Mendez,No especificado,2026-01-02,179.4,Mixco,Retail
500009,Patricia Gomez,F,2026-01-30,18.26,Villa Nueva,Services
500010,Jose Perez,M,2026-01-09,92.39,Guatemala,Education
500011,Gabriela Dominguez,F,2026-01-25,354.39,Amatitlan,Education
500012,Carlos Morales,M,2026-02-25,250.28,Chimaltenango,Retail
500013,Daniel Molina,M,2026-02-02,5.68,Antigua,Food
500014,Laura Flores,M,2026-01-05,264.28,Escuintla,Retail
500015,Andrea Ortega,M,2026-02-02,224.61,Guatemala,Services
500016,Monica Diaz,F,2026-01-08,470.51,Mixco,Education
500017,Valeria Torres,F,2026-02-15,250.28,Guatemala,Retail
500018,Karla Perez,F,2026-02-26,141.71,Guatemala,Food
500019,Juan Diaz,M,2026-02-28,275.85,Villa Nueva,Education
500020,Fernando Lopez,M,2026-02-07,291.96,Villa Nueva,Food
500021,Jose Perez,F,2026-02-22,328.76,Guatemala,Retail
500022,Elena Lopez,F,2026-01-23,6.33,Escuintla,Food
500023,Juan Reyes,F,2026-01-09,161.83,Guatemala,Education
500024,Ricardo Gomez,M,2026-01-31,409.38,Chimaltenango,Education
500025,Carlos Ruiz,F,2026-01-27,59.69,Villa Nueva,Education
500026,Laura Ortega,M,2026-02-09,114.06,Escuintla,Services
500027,Elena Diaz,F,2026-03-01,43.26,Antigua,Education
500028,Diana Fuentes,F,2026-01-17,253.74,Quetzaltenango,Services
500029,Gustavo Perez,M,2026-02-21,58.92,Antigua,Food
